query_id,method,rank,chunk_id,score
0,bm25,1,мтс-p017-c002,15.542868036011782
0,bm25,2,пао омз-p023-c002,15.499739391414433
0,bm25,3,пао омз-p023-c004,15.124377051405276
0,bm25,4,пао оак-p019-c003,14.060224509393713
0,bm25,5,мтс-p026-c001,13.63143322909398
0,bm25,6,россети-p089-c007,13.360782110676581
0,bm25,7,пао дом рф-p017-c005,13.226031015216666
0,bm25,8,пао омз-p026-c002,13.06791575716311
0,bm25,9,пао омз-p024-c003,12.914145100276478
0,bm25,10,транснефть-p036-c008,12.802956062837636
1,bm25,1,хэдхантер-p038-c001,24.180076635240265
1,bm25,2,хэдхантер-p037-c006,20.898303389916205
1,bm25,3,мтс-p018-c001,19.228305300754055
1,bm25,4,хэдхантер-p029-c001,17.535388359047047
1,bm25,5,газпром-p018-c003,17.132329273466173
1,bm25,6,хэдхантер-p049-c001,17.026743962079575
1,bm25,7,хэдхантер-p053-c001,17.026743962079575
1,bm25,8,хэдхантер-p040-c001,17.026743962079575
1,bm25,9,хэдхантер-p011-c001,16.48799978810759
1,bm25,10,хэдхантер-p030-c001,16.11587738731356
2,bm25,1,пао дом рф-p020-c007,22.479102047546508
2,bm25,2,пао югк-p015-c005,21.029227402281116
2,bm25,3,пао югк-p015-c003,20.900951143603262
2,bm25,4,пао югк-p044-c003,20.7517245560013
2,bm25,5,пао югк-p056-c007,20.412768017807583
2,bm25,6,пао омз-p059-c003,20.302093378926998
2,bm25,7,русагро-p050-c004,19.75186057155562
2,bm25,8,т технологии-p034-c002,19.69992173089767
2,bm25,9,инарктика-p030-c003,19.30105692259248
2,bm25,10,т технологии-p131-c003,19.193150278878836
3,bm25,1,пао омз-p059-c003,34.768057959570235
3,bm25,2,русагро-p032-c004,33.052986832752964
3,bm25,3,пао омз-p060-c003,32.95036821971509
3,bm25,4,русагро-p032-c005,31.11102146572967
3,bm25,5,пао афк система-p100-c007,30.95445836030825
3,bm25,6,мтс-p089-c004,30.85192601890955
3,bm25,7,транснефть-p007-c006,30.677826657482246
3,bm25,8,мтс-p017-c003,30.65003393758314
3,bm25,9,мтс-p016-c003,30.274244897552414
3,bm25,10,пао омз-p058-c005,30.233785618922816
4,bm25,1,фосагро-p044-c001,29.41843169136058
4,bm25,2,магнит-p065-c003,27.71923144865375
4,bm25,3,лукойл-p009-c006,27.176033748374714
4,bm25,4,газпром-p101-c002,26.264876368815123
4,bm25,5,транснефть-p029-c003,26.1283169980921
4,bm25,6,транснефть-p029-c001,25.908291850546284
4,bm25,7,норильский никель-p071-c006,25.348321305147913
4,bm25,8,лукойл-p030-c006,25.303536366594244
4,bm25,9,лукойл-p031-c002,25.199962442865942
4,bm25,10,пао дом рф-p020-c007,25.189755001209683
5,bm25,1,фосагро-p044-c001,35.49004620809426
5,bm25,2,лукойл-p030-c006,27.635203592205443
5,bm25,3,лукойл-p031-c002,27.517590539223587
5,bm25,4,пао дом рф-p020-c007,25.189755001209683
5,bm25,5,пао полюс-p047-c001,25.09547673089558
5,bm25,6,инарктика-p049-c007,24.899847236598912
5,bm25,7,газпром-p101-c002,24.809658861325175
5,bm25,8,транснефть-p029-c003,24.715241807322485
5,bm25,9,магнит-p065-c003,24.22256450210853
5,bm25,10,т технологии-p034-c002,23.642320484319903
6,bm25,1,магнит-p063-c006,24.611531430150205
6,bm25,2,тмк-p047-c006,23.709960018100997
6,bm25,3,пао дом рф-p010-c003,21.875458322315954
6,bm25,4,тмк-p045-c001,21.094755594769172
6,bm25,5,транснефть-p027-c001,20.87494112245038
6,bm25,6,пао дом рф-p041-c005,20.74936208054613
6,bm25,7,пао дом рф-p044-c005,20.542541761389753
6,bm25,8,магнит-p073-c004,20.239274628634888
6,bm25,9,пао дом рф-p010-c001,20.067066522899673
6,bm25,10,тмк-p045-c002,20.038890996333677
7,bm25,1,хэдхантер-p029-c005,27.13037771574886
7,bm25,2,тмк-p033-c004,25.185377409339996
7,bm25,3,хэдхантер-p040-c006,24.105020665970635
7,bm25,4,хэдхантер-p041-c001,22.495706429480826
7,bm25,5,хэдхантер-p038-c004,21.914071270226398
7,bm25,6,башинформсвязь-p048-c003,21.715581451635057
7,bm25,7,пао полюс-p033-c004,21.289109436218638
7,bm25,8,пао афк система-p042-c002,20.93673891425877
7,bm25,9,пао югк-p015-c002,20.708859218739285
7,bm25,10,фосагро-p024-c003,19.92534846458508
8,bm25,1,глобалтрак менеджмент-p046-c005,20.78444558284698
8,bm25,2,норильский никель-p050-c006,20.284342658043574
8,bm25,3,пао югк-p044-c003,20.19802784071216
8,bm25,4,пао омз-p065-c004,20.10827723660926
8,bm25,5,пао полюс-p025-c001,19.939417797956896
8,bm25,6,пао московская биржа бухгалтерская финансовая отчетность за 2024 обобщенная-p035-c008,19.47076811099184
8,bm25,7,хэдхантер-p037-c004,19.21461494578697
8,bm25,8,пао полюс-p014-c001,19.02832059325718
8,bm25,9,пао полюс-p039-c004,18.926502602720834
8,bm25,10,пао югк-p015-c005,18.73397348025664
9,bm25,1,норильский никель-p080-c002,21.274951301127782
9,bm25,2,газпром-p047-c006,20.18050834473823
9,bm25,3,тбанк-p096-c002,20.085289092637208
9,bm25,4,русгидро-p042-c009,19.78245546962804
9,bm25,5,пао полюс-p037-c001,19.282381177664757
9,bm25,6,тбанк-p060-c003,19.187141633179436
9,bm25,7,мтс-p035-c004,19.142246905128523
9,bm25,8,мтс-p017-c003,19.019651508426122
9,bm25,9,сбер-p023-c003,18.72457044411351
9,bm25,10,россети-p054-c005,18.682886621752772
10,bm25,1,пао омз-p023-c002,15.499739391414433
10,bm25,2,пао омз-p023-c004,15.124377051405276
10,bm25,3,пао оак-p019-c003,14.060224509393713
10,bm25,4,россети-p089-c007,13.360782110676581
