question_id,method,rank,chunk_id,score
0,dense,1,башинформсвязь-p009-c002,0.8752037286758423
0,dense,2,мтс-p092-c006,0.8647961616516113
0,dense,3,пао афк система-p036-c003,0.8619086742401123
0,dense,4,мтс-p014-c004,0.860956072807312
0,dense,5,мтс-p035-c002,0.8602831363677979
0,dense,6,башинформсвязь-p050-c003,0.8593753576278687
0,dense,7,мтс-p014-c002,0.8568212985992432
0,dense,8,пао омз-p042-c002,0.8565903306007385
0,dense,9,ржд-p013-c003,0.855231523513794
0,dense,10,мтс-p034-c003,0.8549865484237671
1,dense,1,хэдхантер-p010-c001,0.8906665444374084
1,dense,2,хэдхантер-p008-c001,0.8903914093971252
1,dense,3,хэдхантер-p028-c001,0.8834795951843262
1,dense,4,хэдхантер-p038-c004,0.8757654428482056
1,dense,5,хэдхантер-p014-c001,0.8738915324211121
1,dense,6,хэдхантер-p046-c001,0.8726565837860107
1,dense,7,хэдхантер-p017-c001,0.8708568811416626
1,dense,8,хэдхантер-p027-c001,0.8700109720230103
1,dense,9,хэдхантер-p036-c001,0.8691575527191162
1,dense,10,хэдхантер-p007-c001,0.8678315877914429
2,dense,1,пао югк-p010-c001,0.8806420564651489
2,dense,2,пао югк-p043-c001,0.874038577079773
2,dense,3,газпром-p097-c002,0.8723644018173218
2,dense,4,россети-p061-c003,0.8721556663513184
2,dense,5,пао омз-p056-c004,0.8718727827072144
2,dense,6,лукойл-p024-c002,0.8706474304199219
2,dense,7,фосагро-p040-c002,0.8702397346496582
2,dense,8,пао оак-p026-c001,0.8697519302368164
2,dense,9,пао югк-p041-c001,0.8693599700927734
2,dense,10,пао югк-p009-c001,0.8690506219863892
3,dense,1,лента-p057-c004,0.8772198557853699
3,dense,2,пао афк система-p015-c002,0.8767645359039307
3,dense,3,россети-p066-c002,0.8745856285095215
3,dense,4,башинформсвязь-p044-c004,0.8735613822937012
3,dense,5,эн-p058-c008,0.8734135627746582
3,dense,6,пао полюс-p039-c002,0.8730800151824951
3,dense,7,лукойл-p023-c002,0.8723748326301575
3,dense,8,пао оак-p028-c001,0.8723104596138
3,dense,9,газпром-p088-c001,0.8714360594749451
3,dense,10,нлмк-p037-c007,0.8710319995880127
4,dense,1,транснефть-p029-c001,0.8891232013702393
4,dense,2,русагро-p045-c004,0.8861085176467896
4,dense,3,пао омз-p039-c004,0.8853049874305725
4,dense,4,россети-p068-c005,0.8833991289138794
4,dense,5,лукойл-p030-c002,0.87984299659729
4,dense,6,хэдхантер-p045-c002,0.8797560334205627
4,dense,7,пао омз-p040-c003,0.8793051242828369
4,dense,8,русагро-p043-c002,0.8787920475006104
4,dense,9,пао ятэк-p029-c006,0.8786090612411499
4,dense,10,газпром-p100-c004,0.8780854940414429
5,dense,1,пао полюс-p041-c001,0.9098997116088867
5,dense,2,пао омз-p039-c004,0.8935409188270569
5,dense,3,пао полюс-p023-c001,0.8922753930091858
5,dense,4,пао полюс-p052-c001,0.887519121170044
5,dense,5,пао полюс-p047-c001,0.8874354362487793
5,dense,6,русагро-p045-c004,0.8863297700881958
5,dense,7,пао полюс-p043-c001,0.8839017152786255
5,dense,8,пао полюс-p039-c001,0.8838800191879272
5,dense,9,россети-p068-c005,0.8838342428207397
5,dense,10,хэдхантер-p045-c002,0.8834806680679321
6,dense,1,пао дом рф-p049-c006,0.8794862031936646
6,dense,2,фосагро-p046-c007,0.8792346715927124
6,dense,3,пао полюс-p039-c006,0.8780452013015747
6,dense,4,пао дом рф-p049-c004,0.8776273727416992
6,dense,5,ашинский металлургический завод-p040-c006,0.8775380849838257
6,dense,6,транснефть-p027-c006,0.8741444945335388
6,dense,7,лукойл-p033-c004,0.8735414743423462
6,dense,8,пао омз-p041-c005,0.8735395073890686
6,dense,9,ржд-p085-c002,0.8729710578918457
6,dense,10,нлмк-p025-c003,0.8721073865890503
7,dense,1,хэдхантер-p029-c003,0.887852132320404
7,dense,2,хэдхантер-p029-c001,0.8860088586807251
7,dense,3,хэдхантер-p031-c001,0.8828081488609314
7,dense,4,хэдхантер-p028-c001,0.8812741637229919
7,dense,5,хэдхантер-p010-c001,0.8788701295852661
7,dense,6,хэдхантер-p036-c001,0.8787953853607178
7,dense,7,хэдхантер-p029-c005,0.878791332244873
7,dense,8,хэдхантер-p008-c001,0.8777310252189636
7,dense,9,хэдхантер-p030-c001,0.8771657943725586
7,dense,10,хэдхантер-p014-c001,0.876949667930603
8,dense,1,пао полюс-p012-c001,0.8918285369873047
8,dense,2,пао полюс-p037-c001,0.8904793858528137
8,dense,3,пао полюс-p011-c001,0.8893865346908569
8,dense,4,пао полюс-p045-c001,0.8889526724815369
8,dense,5,пао полюс-p053-c001,0.8859664797782898
8,dense,6,пао полюс-p020-c001,0.8857690095901489
8,dense,7,пао полюс-p014-c001,0.8811861276626587
8,dense,8,пао полюс-p041-c001,0.8810709714889526
8,dense,9,пао полюс-p039-c001,0.8807165622711182
8,dense,10,пао полюс-p025-c001,0.879400908946991
9,dense,1,мтс-p092-c006,0.882226824760437
9,dense,2,газпром-p093-c007,0.8718605041503906
9,dense,3,русал-p045-c002,0.8712930679321289
9,dense,4,мтс-p010-c001,0.8712050914764404
9,dense,5,мтс-p011-c001,0.8709205389022827
9,dense,6,лента-p052-c004,0.8697965741157532
9,dense,7,мтс-p017-c002,0.8694461584091187
9,dense,8,русагро-p042-c007,0.8693742752075195
9,dense,9,мтс-p093-c001,0.8688213229179382
9,dense,10,россети-p061-c003,0.8684528470039368
10,dense,1,лента-p007-c001,0.8660950660705566
10,dense,2,лента-p059-c001,0.8613204956054688
10,dense,3,лента-p060-c001,0.8612755537033081
10,dense,4,лента-p008-c001,0.8579834699630737
10,dense,5,лента-p024-c001,0.8578225374221802
10,dense,6,лента-p044-c001,0.8569823503494263
10,dense,7,лента-p065-c001,0.8562895059585571
10,dense,8,лента-p047-c001,0.8558576703071594
10,dense,9,лента-p061-c001,0.8547444343566895
10,dense,10,лента-p033-c001,0.8531911373138428
11,dense,1,пао славнефть янос-p008-c001,0.8717641830444336
11,dense,2,пао славнефть янос-p026-c001,0.8671516180038452
11,dense,3,пао славнефть янос-p025-c001,0.865513801574707
11,dense,4,пао славнефть янос-p006-c003,0.8542616367340088
11,dense,5,эн-p014-c003,0.8530218601226807
11,dense,6,пао омз-p041-c005,0.8519600629806519
11,dense,7,ржд-p013-c003,0.8518776893615723
11,dense,8,пао славнефть янос-p014-c001,0.8488342761993408
11,dense,9,русагро-p036-c004,0.8472583889961243
11,dense,10,хэдхантер-p009-c002,0.8469834327697754
12,dense,1,мтс-p032-c008,0.8779329061508179
12,dense,2,газпром-p097-c002,0.8777058720588684
12,dense,3,сбер-p154-c002,0.8771843910217285
12,dense,4,пао московская биржа бухгалтерская финансовая отчетность за 2024 обобщенная-p006-c002,0.8771278858184814
12,dense,5,тбанк-p060-c005,0.8751940727233887
12,dense,6,т технологии-p088-c002,0.8751519918441772
12,dense,7,тбанк-p099-c002,0.8750423192977905
12,dense,8,пао омз-p056-c004,0.8749243021011353
12,dense,9,лукойл-p041-c004,0.874852180480957
12,dense,10,глобалтрак менеджмент-p062-c002,0.8739880323410034
13,dense,1,пао ятэк-p011-c001,0.8747230172157288
13,dense,2,лента-p057-c004,0.8721568584442139
13,dense,3,пао полюс-p039-c002,0.8720372915267944
13,dense,4,газпром-p088-c001,0.8718861937522888
13,dense,5,пао оак-p028-c001,0.8714361190795898
13,dense,6,пао ятэк-p009-c001,0.8709959983825684
13,dense,7,пао ятэк-p046-c001,0.8709362149238586
13,dense,8,пао ятэк-p010-c001,0.8706480264663696
13,dense,9,эн-p058-c008,0.8703131675720215
13,dense,10,фосагро-p036-c005,0.8702554702758789
14,dense,1,русагро-p045-c004,0.8931829929351807
14,dense,2,пао омз-p039-c004,0.8916037082672119
14,dense,3,пао полюс-p041-c001,0.8898625373840332
14,dense,4,лукойл-p030-c002,0.88974529504776
14,dense,5,хэдхантер-p045-c002,0.8888674974441528
14,dense,6,россети-p089-c009,0.8869585990905762
14,dense,7,нлмк-p023-c007,0.8868059515953064
14,dense,8,транснефть-p029-c003,0.8863987922668457
14,dense,9,русгидро-p056-c003,0.8863233327865601
14,dense,10,россети-p068-c005,0.885942816734314
15,dense,1,пао омз-p039-c004,0.9004484415054321
15,dense,2,русагро-p045-c004,0.8945132493972778
15,dense,3,хэдхантер-p045-c002,0.8935552835464478
15,dense,4,лукойл-p029-c006,0.8931623697280884
15,dense,5,пао омз-p039-c001,0.8919854164123535
15,dense,6,магнит-p065-c003,0.8911768794059753
15,dense,7,пао омз-p032-c005,0.8901156187057495
15,dense,8,русгидро-p056-c003,0.8888733386993408
15,dense,9,лукойл-p029-c005,0.8888634443283081
15,dense,10,россети-p068-c005,0.8887172937393188
16,dense,1,ашинский металлургический завод-p040-c001,0.8805910348892212
16,dense,2,ашинский металлургический завод-p008-c001,0.8763843774795532
16,dense,3,ашинский металлургический завод-p029-c001,0.8749178647994995
16,dense,4,ашинский металлургический завод-p010-c001,0.874167799949646
16,dense,5,ашинский металлургический завод-p052-c001,0.8730103969573975
16,dense,6,ашинский металлургический завод-p038-c001,0.8708897233009338
16,dense,7,ашинский металлургический завод-p046-c001,0.8705952167510986
16,dense,8,ашинский металлургический завод-p032-c001,0.8696268796920776
16,dense,9,пао полюс-p039-c006,0.868939220905304
16,dense,10,ашинский металлургический завод-p014-c001,0.8685510158538818
17,dense,1,ашинский металлургический завод-p032-c001,0.9071367979049683
17,dense,2,ашинский металлургический завод-p033-c001,0.9024388194084167
17,dense,3,ашинский металлургический завод-p017-c001,0.894425630569458
17,dense,4,ашинский металлургический завод-p029-c001,0.8900465965270996
17,dense,5,ашинский металлургический завод-p018-c001,0.8877360820770264
17,dense,6,ашинский металлургический завод-p010-c001,0.8877325057983398
17,dense,7,ашинский металлургический завод-p008-c001,0.8868062496185303
17,dense,8,ашинский металлургический завод-p034-c001,0.8849729299545288
17,dense,9,ашинский металлургический завод-p051-c001,0.8814828991889954
17,dense,10,ашинский металлургический завод-p015-c001,0.8801276683807373
18,dense,1,пао оак-p029-c002,0.8951886892318726
18,dense,2,пао оак-p050-c002,0.8716717958450317
18,dense,3,тмк-p047-c003,0.8697941899299622
18,dense,4,ржд-p083-c005,0.8687589168548584
18,dense,5,газпром-p050-c004,0.8630563020706177
18,dense,6,пао московская биржа бухгалтерская финансовая отчетность за 2024 обобщенная-p069-c006,0.8624318242073059
18,dense,7,пао оак-p028-c004,0.8618704080581665
18,dense,8,пао оак-p008-c001,0.8613177537918091
18,dense,9,пао полюс-p012-c001,0.8611107468605042
18,dense,10,пао оак-p029-c004,0.8610446453094482
19,dense,1,русагро-p042-c007,0.8850722312927246
19,dense,2,россети-p061-c003,0.8841843008995056
19,dense,3,эн-p034-c002,0.8840774297714233
19,dense,4,тмк-p047-c003,0.883979082107544
19,dense,5,роснефть-p032-c004,0.8839408159255981
19,dense,6,русал-p045-c002,0.8839231133460999
19,dense,7,пао омз-p033-c008,0.8831658959388733
19,dense,8,сбер-p154-c002,0.8830684423446655
19,dense,9,сбер-p152-c003,0.8828345537185669
19,dense,10,лукойл-p038-c002,0.8814687728881836
20,dense,1,магнит-p011-c001,0.8623242378234863
20,dense,2,магнит-p012-c001,0.8544584512710571
20,dense,3,глобалтрак менеджмент-p057-c007,0.8475465774536133
20,dense,4,нлмк-p033-c002,0.8470960855484009
