chunk_id,company_raw,company_slug,source_file,pdf_page,chunk_idx_on_page,text,n_chars
ашинский металлургический завод-p001-c001,АШИНСКИЙ МЕТАЛЛУРГИЧЕСКИЙ ЗАВОД,ашинский металлургический завод,/content/data/Дата/АШИНСКИЙ МЕТАЛЛУРГИЧЕСКИЙ ЗАВОД.pdf,1,1,"ГРУППА «АШИНСКИЙ МЕТАЛЛУРГИЧЕСКИЙ ЗАВОД» КОНСОЛИДИРОВАННАЯ ФИНАНСОВАЯ ОТЧЕТНОСТЬ, ПОДГОТОВЛЕННАЯ В СООТВЕТСТВИИ С МЕЖДУНАРОДНЫМИ СТАНДАРТАМИ ФИНАНСОВОЙ ОТЧЕТНОСТИ (МСФО),",170
ашинский металлургический завод-p001-c002,АШИНСКИЙ МЕТАЛЛУРГИЧЕСКИЙ ЗАВОД,ашинский металлургический завод,/content/data/Дата/АШИНСКИЙ МЕТАЛЛУРГИЧЕСКИЙ ЗАВОД.pdf,1,2,"ЗА ГОД, ЗАКОНЧИВШИЙСЯ 31 ДЕКАБРЯ 2024 г., ВО ИСПОЛНЕНИЕ ТРЕБОВАНИЙ ФЕДЕРАЛЬНОГО ЗАКОНА «О КОНСОЛИДИРОВАННОЙ ФИНАНСОВОЙ ОТЧЕТНОСТИ» № 208–ФЗ И АУДИТОРСКОЕ ЗАКЛЮЧЕНИЕ НЕЗАВИСИМОГО",177
ашинский металлургический завод-p002-c001,АШИНСКИЙ МЕТАЛЛУРГИЧЕСКИЙ ЗАВОД,ашинский металлургический завод,/content/data/Дата/АШИНСКИЙ МЕТАЛЛУРГИЧЕСКИЙ ЗАВОД.pdf,2,1,"Группа «Ашинский металлургический завод» Содержание Аудиторское заключение независимого аудитора Консолидированная финансовая отчетность Консолидированный отчет о финансовом положении по состоянию на 31 декабря 2024 года ............ 1 Консолидированный отчет о прибыли или убытке и прочем совокупном доходе за год,",315
ашинский металлургический завод-p002-c002,АШИНСКИЙ МЕТАЛЛУРГИЧЕСКИЙ ЗАВОД,ашинский металлургический завод,/content/data/Дата/АШИНСКИЙ МЕТАЛЛУРГИЧЕСКИЙ ЗАВОД.pdf,2,2,"закончившийся 31 декабря 2024 года .......................................................................................................... 2 Консолидированный отчет об изменениях в капитале за год, закончившийся 31 декабря 2024 года ......................................................................................................... 3 Консолидированный отчет о движении денежных средств за год, закончившийся 31 декабря 2024 года ......................................................................................................... 4 Примечания к консолидированной финансовой отчетности",599
ашинский металлургический завод-p002-c003,АШИНСКИЙ МЕТАЛЛУРГИЧЕСКИЙ ЗАВОД,ашинский металлургический завод,/content/data/Дата/АШИНСКИЙ МЕТАЛЛУРГИЧЕСКИЙ ЗАВОД.pdf,2,3,1. Общие сведения о Группе и ее деятельности .................................................................................. 5 2. Существенная информация об учетной политике ........................................................................... 6 3. Применение новых или пересмотренных стандартов и разъяснений ......................................... 18,363
ашинский металлургический завод-p002-c004,АШИНСКИЙ МЕТАЛЛУРГИЧЕСКИЙ ЗАВОД,ашинский металлургический завод,/content/data/Дата/АШИНСКИЙ МЕТАЛЛУРГИЧЕСКИЙ ЗАВОД.pdf,2,4,4. Новые стандарты и интерпретации ................................................................................................. 19 5. Использование расчетных оценок и профессиональных суждений ............................................. 19 6. Операционные сегменты .................................................................................................................. 21 7. Выручка .............................................................................................................................................. 23,546
ашинский металлургический завод-p002-c005,АШИНСКИЙ МЕТАЛЛУРГИЧЕСКИЙ ЗАВОД,ашинский металлургический завод,/content/data/Дата/АШИНСКИЙ МЕТАЛЛУРГИЧЕСКИЙ ЗАВОД.pdf,2,5,"8. Себестоимость, коммерческие, административные расходы, прочие доходы и расходы ......... 24 9. Расходы на вознаграждение работникам ....................................................................................... 25 10. Финансовые доходы и расходы ....................................................................................................... 25 11. Прибыль на акцию ............................................................................................................................. 25 12. Расход по налогу на прибыль ....................................................",599
ашинский металлургический завод-p002-c006,АШИНСКИЙ МЕТАЛЛУРГИЧЕСКИЙ ЗАВОД,ашинский металлургический завод,/content/data/Дата/АШИНСКИЙ МЕТАЛЛУРГИЧЕСКИЙ ЗАВОД.pdf,2,6,...................................................... 26 13. Основные средства ........................................................................................................................... 29,206
ашинский металлургический завод-p002-c007,АШИНСКИЙ МЕТАЛЛУРГИЧЕСКИЙ ЗАВОД,ашинский металлургический завод,/content/data/Дата/АШИНСКИЙ МЕТАЛЛУРГИЧЕСКИЙ ЗАВОД.pdf,2,7,"14. Финансовые активы, учитываемые по амортизированной стоимости ......................................... 31 15. Запасы ................................................................................................................................................ 32 16. Торговая и прочая дебиторская задолженность ............................................................................ 32 17. Денежные средства и их эквиваленты ............................................................................................ 33 18. Капитал и резервы .............................................",599
ашинский металлургический завод-p002-c008,АШИНСКИЙ МЕТАЛЛУРГИЧЕСКИЙ ЗАВОД,ашинский металлургический завод,/content/data/Дата/АШИНСКИЙ МЕТАЛЛУРГИЧЕСКИЙ ЗАВОД.pdf,2,8,............................................................................... 34 19. Управление капиталом ..................................................................................................................... 34 20. Кредиты и займы ............................................................................................................................... 35 21. Торговая и прочая кредиторская задолженность ........................................................................... 36 22. Справедливая стоимость и управление рисками.............................................,600
